system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,Texture,class,elevation_normalized,random,.geo
1_2_24_0,2590.5,615.0,956.5,962.0,2350.0,-0.9993366,0.01563849,0.0086038215,0.019650433844946052,2,0.05932908,0.2979203673720019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.95056808288923,42.74520990072229]}"
1_2_25_0,1121.0,208.0,326.0,198.0,1781.0,-0.999635,0.15086819,0.100678876,0.017448148141808763,2,0.07596341,0.5507721591438007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.0810034621434,42.75383372744983]}"
1_2_26_0,1461.0,227.0,394.0,240.0,2709.0,-0.99954414,0.08384658,0.05868981,0.025044405407741308,2,0.06210147,0.03925728757903357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.29659913033208,42.459276145787044]}"
1_2_28_0,2113.5,795.5,1006.0,1036.0,2404.5,-0.99931884,0.0540655,0.0084173875,0.05387917935328867,2,0.05572498,0.2820446513514776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.92820003231466,42.55791116398336]}"
1_2_29_0,2204.0,1192.0,1425.0,1653.0,1824.5,-0.9990394,-0.015593101,-0.0126594445,0.04257616626572503,2,0.054616023,0.6605793762600433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.95407151249731,42.60237777054728]}"
1_2_30_0,1984.0,191.0,409.0,268.0,3524.0,-0.9995715,0.12271188,0.08592242,0.024060401231907478,2,0.08511228,0.34651637505427246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.86936952976853,42.43097921433728]}"
1_2_31_0,2735.0,475.0,721.0,774.0,2603.0,-0.9993314,0.0203595,-0.015227545,0.017788554807294542,2,0.082062654,0.5276347268368453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.56807458347485,42.30108282425359]}"
1_2_32_0,2148.0,369.0,584.0,711.0,2681.0,-0.99947566,-0.029521065,0.10815323,0.028289912645829026,2,0.082062654,0.7504130828168389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.75672079313995,42.53042271628931]}"
1_2_34_0,2396.5,350.5,647.0,847.5,2348.0,-0.9994623,-0.011481897,0.024360046,0.020173448458346177,2,0.06598281,0.45060976557636634,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64002963773282,42.95487668803578]}"
1_2_35_0,2597.5,772.5,990.5,1278.5,2582.0,-0.9994171,0.02994719,-0.008045998,0.02320136602176278,2,0.06626005,0.5011268488408943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.80711628057905,43.11792091210347]}"
1_2_36_0,1625.0,310.0,573.0,344.0,3832.0,-0.9994226,0.16790532,-0.024490314,0.019352975360701383,2,0.054061547,0.19999911494849498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.93305093484891,42.38786008069954]}"
1_2_37_0,1929.5,783.0,951.0,1109.5,1825.0,-0.9992755,0.024073228,-9.294916E-4,0.021063096426453203,2,0.05322983,0.594761216108921,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.89235725247829,42.32857127194765]}"
1_2_38_0,3132.0,1768.0,2124.0,2363.0,2492.0,-0.998717,-0.04134539,-7.1139634E-4,0.08619668062632153,2,0.05988356,0.5928061951739209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.04084876894325,42.45253878115614]}"
1_2_39_0,1587.0,276.0,468.0,346.0,2753.0,-0.99957246,0.18821263,0.0314501,0.032572021654953494,2,0.07513169,0.7613811968592391,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.16023487020274,42.680531200265676]}"
1_2_40_0,2432.5,729.0,948.5,1031.0,2339.0,-0.99928963,-0.031600825,0.0072313016,0.018842968785767193,2,0.05600222,0.12506073871151668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.84600418381773,42.70801964795974]}"
1_2_42_0,2757.0,831.5,1094.5,1312.5,2690.0,-0.9991913,-0.042396013,-0.027685987,0.021794970260535364,2,0.07180482,0.30693212257810665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.00015508657263,42.93870701292163]}"
1_2_45_0,1790.0,312.0,535.0,356.0,2947.0,-0.99951214,0.2048317,0.044988602,0.020764490791041652,2,0.07956751,0.1937982974665119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.14550707382503,42.73496910648332]}"
